Launching GPU 4 -> scripts/tune_results/tune_cutedsl_g4.json
Launching GPU 5 -> scripts/tune_results/tune_cutedsl_g5.json
Launching GPU 6 -> scripts/tune_results/tune_cutedsl_g6.json
Launching GPU 7 -> scripts/tune_results/tune_cutedsl_g7.json
Worker shard=0/4 cells=12 (of 48)  out=scripts/tune_results/tune_cutedsl_g4.json
Worker shard=1/4 cells=12 (of 48)  out=scripts/tune_results/tune_cutedsl_g5.json
Worker shard=3/4 cells=12 (of 48)  out=scripts/tune_results/tune_cutedsl_g7.json
Worker shard=2/4 cells=12 (of 48)  out=scripts/tune_results/tune_cutedsl_g6.json
[10/12] N=65536 K=256 D=512 dt=fp16: best={'BM': 128, 'BN': 64, 'use_ws': False} (53.2 us)  cell_time=5.2s  elapsed=100.5s
[11/12] N=65536 K=4096 D=512 dt=bf16: best={'BM': 128, 'BN': 64, 'use_ws': True} (542.3 us)  cell_time=5.2s  elapsed=105.4s
[11/12] N=65536 K=4096 D=512 dt=fp16: best={'BM': 128, 'BN': 64, 'use_ws': True} (546.1 us)  cell_time=5.2s  elapsed=105.6s
[12/12] N=65536 K=65536 D=512 dt=bf16: best={'BM': 128, 'BN': 64, 'use_ws': False} (9673.6 us)  cell_time=6.0s  elapsed=111.4s
[12/12] N=65536 K=65536 D=512 dt=fp16: best={'BM': 128, 'BN': 64, 'use_ws': False} (9742.5 us)  cell_time=6.0s  elapsed=111.7s
[9/12] N=1048576 K=65536 D=256 dt=bf16: best={'BM': 128, 'BN': 128, 'use_ws': True} (63893.9 us)  cell_time=27.8s  elapsed=124.0s
[9/12] N=1048576 K=65536 D=256 dt=fp16: best={'BM': 128, 'BN': 128, 'use_ws': True} (63822.5 us)  cell_time=27.8s  elapsed=124.0s
[10/12] N=1048576 K=256 D=512 dt=bf16: best={'BM': 128, 'BN': 64, 'use_ws': True} (678.7 us)  cell_time=5.2s  elapsed=129.2s
[10/12] N=1048576 K=256 D=512 dt=fp16: best={'BM': 128, 'BN': 64, 'use_ws': True} (676.2 us)  cell_time=5.2s  elapsed=129.2s
[11/12] N=1048576 K=4096 D=512 dt=bf16: best={'BM': 128, 'BN': 64, 'use_ws': True} (8070.9 us)  cell_time=5.8s  elapsed=135.0s
[11/12] N=1048576 K=4096 D=512 dt=fp16: best={'BM': 128, 'BN': 64, 'use_ws': True} (8089.6 us)  cell_time=5.8s  elapsed=135.1s
[12/12] N=1048576 K=65536 D=512 dt=bf16: best={'BM': 128, 'BN': 64, 'use_ws': False} (153159.2 us)  cell_time=18.9s  elapsed=153.9s
[12/12] N=1048576 K=65536 D=512 dt=fp16: best={'BM': 128, 'BN': 64, 'use_ws': False} (154426.6 us)  cell_time=19.0s  elapsed=154.1s
Merged 48 cells -> scripts/tune_results/tune_cutedsl_h200.json
